Domain,I+,I-,I0,IPH+,IPH-,IPH0,V+,V-,V0,VPH+,VPH-,VPH0,VA,VB,VC,IA,IB,IC,Type
0.54675,0.804401366,0.804401366,0.804401366,-2.544727129,-2.544727129,-2.544727129,74.44586816,74.44586816,74.44586816,-1.597206536,-1.597206536,-1.597206536,1,1,1,0,0,0,0
0.547,0.804400391,0.804400391,0.804400391,-2.544729877,-2.544729877,-2.544729877,74.44602351,74.44602351,74.44602351,-1.597206097,-1.597206097,-1.597206097,1,1,1,0,0,0,0
0.54725,0.804400391,0.804400391,0.804400391,-2.544729877,-2.544729877,-2.544729877,74.44602351,74.44602351,74.44602351,-1.597206097,-1.597206097,-1.597206097,1,1,1,0,0,0,0
0.5475,0.804400391,0.804400391,0.804400391,-2.544729877,-2.544729877,-2.544729877,74.44602351,74.44602351,74.44602351,-1.597206097,-1.597206097,-1.597206097,1,1,1,0,0,0,0
0.54775,0.804400391,0.804400391,0.804400391,-2.544729877,-2.544729877,-2.544729877,74.44602351,74.44602351,74.44602351,-1.597206097,-1.597206097,-1.597206097,1,1,1,0,0,0,0
0.548,0.804398023,0.804398023,0.804398023,-2.544732689,-2.544732689,-2.544732689,74.44600141,74.44600141,74.44600141,-1.597206041,-1.597206041,-1.597206041,1,1,1,0,0,0,0
0.54825,0.804398023,0.804398023,0.804398023,-2.544732689,-2.544732689,-2.544732689,74.44600141,74.44600141,74.44600141,-1.597206041,-1.597206041,-1.597206041,1,1,1,0,0,0,0
0.5485,0.804398023,0.804398023,0.804398023,-2.544732689,-2.544732689,-2.544732689,74.44600141,74.44600141,74.44600141,-1.597206041,-1.597206041,-1.597206041,1,1,1,0,0,0,0
0.54875,0.804398023,0.804398023,0.804398023,-2.544732689,-2.544732689,-2.544732689,74.44600141,74.44600141,74.44600141,-1.597206041,-1.597206041,-1.597206041,1,1,1,0,0,0,0
0.549,0.804395799,0.804395799,0.804395799,-2.544733761,-2.544733761,-2.544733761,74.44604938,74.44604938,74.44604938,-1.597206461,-1.597206461,-1.597206461,1,1,1,0,0,0,0
0.54925,0.804395799,0.804395799,0.804395799,-2.544733761,-2.544733761,-2.544733761,74.44604938,74.44604938,74.44604938,-1.597206461,-1.597206461,-1.597206461,1,1,1,0,0,0,0
0.5495,0.804395799,0.804395799,0.804395799,-2.544733761,-2.544733761,-2.544733761,74.44604938,74.44604938,74.44604938,-1.597206461,-1.597206461,-1.597206461,1,1,1,0,0,0,0
0.54975,0.804395799,0.804395799,0.804395799,-2.544733761,-2.544733761,-2.544733761,74.44604938,74.44604938,74.44604938,-1.597206461,-1.597206461,-1.597206461,1,1,1,0,0,0,0
